항목ID,공통항목,목표,비고,시간(분),시간(초),유형,유형코드,항목명
ENERGY-01,Y,활력,,1,60,확인형,CONFIRM,잠자리 정리하기
ENERGY-02,Y,활력,,1,60,확인형,CONFIRM,물 한 잔 마시기
ENERGY-03,N,활력,,1,60,확인형,CONFIRM,창문 열고 햇빛 쐬기
ENERGY-04,N,활력,,3,180,확인형,CONFIRM,세수하고 양치하기
ENERGY-05,N,활력,,1,60,확인형,CONFIRM,커튼 걷고 방 밝히기
ENERGY-06,N,활력,,1,60,확인형,CONFIRM,찬물로 세안하기
ENERGY-10,Y,활력,,3,180,타이머형,TIMER,가볍게 스트레칭하기
ENERGY-15,N,활력,,1,60,타이머형,TIMER,기지개·전신 늘이기
ENERGY-16,Y,활력,,1,60,입력형,INPUT,오늘의 다짐 말하기
ENERGY-17,N,활력,,2,120,입력형,INPUT,오늘 할 일 떠올리기
HEALTH-01,Y,건강,,1,60,확인형,CONFIRM,물 한 잔 마시기
HEALTH-02,Y,건강,,1,60,확인형,CONFIRM,잠자리 정리하기
HEALTH-04,N,건강,,1,60,확인형,CONFIRM,영양제 챙겨 먹기
HEALTH-06,N,건강,,1,60,확인형,CONFIRM,체중 재기
HEALTH-07,N,건강,,1,60,확인형,CONFIRM,양치하기
HEALTH-08,Y,건강,,3,180,타이머형,TIMER,가볍게 스트레칭하기
HEALTH-10,N,건강,,2,120,타이머형,TIMER,목·어깨 스트레칭
HEALTH-13,N,건강,,5,300,타이머형,TIMER,맨몸 근력 운동
HEALTH-17,N,건강,,2,120,입력형,INPUT,아침 컨디션 기록하기
HEALTH-18,N,건강,,1,60,입력형,INPUT,오늘 운동 계획 말하기
CALM-01,Y,마음 안정,,1,60,확인형,CONFIRM,잠자리 정리하기
CALM-02,N,마음 안정,,1,60,확인형,CONFIRM,창문 열고 환기하기
CALM-04,N,마음 안정,,1,60,확인형,CONFIRM,좋아하는 인센스 켜기
CALM-07,Y,마음 안정,,3,180,타이머형,TIMER,심호흡하며 명상하기
CALM-11,N,마음 안정,,4,240,타이머형,TIMER,명상하기
CALM-13,N,마음 안정,,3,180,타이머형,TIMER,가벼운 스트레칭으로 긴장 풀기
CALM-14,N,마음 안정,,2,120,입력형,INPUT,감사한 일 3가지 말하기
CALM-16,Y,마음 안정,,1,60,입력형,INPUT,오늘의 다짐 말하기
CALM-18,N,마음 안정,,1,60,입력형,INPUT,오늘 목표 정하기
HABIT-01,Y,습관 형성,,1,60,확인형,CONFIRM,잠자리 정리하기
HABIT-02,Y,습관 형성,,1,60,확인형,CONFIRM,물 한 잔 마시기
HABIT-05,N,습관 형성,,1,60,확인형,CONFIRM,방 청소하기
HABIT-07,Y,습관 형성,,3,180,타이머형,TIMER,가볍게 스트레칭하기
HABIT-09,N,습관 형성,,5,300,타이머형,TIMER,짧은 글쓰기·블로깅
HABIT-08,N,습관 형성,,5,300,타이머형,TIMER,5분 독서 몰입하기
HABIT-10,N,습관 형성,,3,180,타이머형,TIMER,외국어 단어 외우기
HABIT-12,N,습관 형성,,2,120,입력형,INPUT,오늘 할 일 3가지 정하기
HABIT-15,Y,습관 형성,,1,60,입력형,INPUT,오늘의 다짐 말하기
HABIT-17,N,습관 형성,,2,120,입력형,INPUT,오늘 하루 목표 정하기
